#,model,make,vehicle class(GTA V/GTA Online),type,style,capacity,price,website,type,appears in,variant(s),similar vehicle(s)
310,Baller LE (Armored),Gallivanter,SUVs,Civilian SUV,4-door full size armored SUV,4,"$374,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Baller LE LWB (Armored),Baller LE#Baller LE LWB#Huntley Sport#Huntley
311,Baller LE LWB,Gallivanter,SUVs,Civilian SUV,4-door long-wheelbase SUV,4,"$247,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC],Baller LE LWB (Armored),Baller LE#Baller LE (Armored)#Huntley Sport#Huntley
312,Baller LE LWB (Armored),Gallivanter,SUVs,Civilian SUV,4-door long-wheelbase armored SUV,4,"$513,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Baller LE#Baller LE (Armored)#Baller LE LWB#Huntley Sport#Huntley
313,BeeJay XL,Karin,SUVs,Civilian car,4-door SUV,4,"$27,000 (GTA Online)#(Southern San Andreas Super Autos)[1]",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Patriot#Mesa
314,Cavalcade,Albany,SUVs,Civilian car,4-door SUV,4,"• ­$60,000 (1st Gen. Variant) (GTA V and GTA Online)#• ­$70,000 (2nd Gen. Variant) (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V (first and second gen variants)#Grand Theft Auto Online (first and second gen variants),0,Cavalcade FXT#FIB Rancher
315,Cavalcade,Albany,SUVs,Civilian car,4-door SUV,4,"• ­$60,000 (1st Gen. Variant) (GTA V and GTA Online)#• ­$70,000 (2nd Gen. Variant) (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V (first and second gen variants)#Grand Theft Auto Online (first and second gen variants),0,Cavalcade FXT#FIB Rancher
316,Contender,Vapid,SUVs,Civilian car,2-door pickup truck (GTA IV)#4-door pickup truck (GTA Online),2,"$250,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],Utility Truck,Sadler#Sandking XL#Sandking SWB#Caracara 4x4
317,Dubsta,Benefactor,SUVs,Civilian car,4-door SUV,4,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Dubsta 6x6,Serrano#Huntley
318,Dubsta,Benefactor,SUVs,Civilian car,4-door SUV,4,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,Dubsta 6x6,Serrano#Huntley
319,FQ 2,Fathom,SUVs,Civilian SUV,4-door SUV,4,"$50,000 (GTA Online)#(Southern San Andreas Super Autos)[1]",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Streiter
320,Granger,Declasse,SUVs,Civilian SUV,4-door SUV,8,"$35,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,FIB#Lifeguard#Park Ranger#Sheriff SUV,Cavalcade#Cavalcade FXT
321,Gresley,Bravado,SUVs,Civilian car,4-door SUV,4,"$29,000 (Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,XLS#XLS (Armored)
322,Habanero,Emperor,SUVs,Civilian car,4-door SUV,4,"$42,000 (GTA Online)#(Southern San Andreas Super Autos)[1]",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,0
323,Huntley S,Enus,SUVs,Civilian car,4-door SUV,4,"$195,000 (GTA Online) (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Baller#Toros
324,Landstalker,Dundreary (HD Universe),SUVs,Civilian SUV,4-door SUV,4,"$58,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Cavalcade#Seminole Frontier
325,Landstalker XL,Dundreary,SUVs,Civilian car,4-door SUV,4,"$1,220,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Cavalcade#Granger#Gresley#Rebla GTS
326,Mesa,Canis (HD Universe),SUVs,Civilian car,2-door SUV (3D Universe)#4-door SUT/SUV (HD Universe)#4-door offroad SUT/SUV (Merryweather variant),2,"$20,000 (GTA SA)#(Exports and Imports)#$87,000 (Merryweather variant; GTA Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Crusader,Freecrawler
327,Mesa,Canis (HD Universe),SUVs,Civilian car,2-door SUV (3D Universe)#4-door SUT/SUV (HD Universe)#4-door offroad SUT/SUV (Merryweather variant),2,"$20,000 (GTA SA)#(Exports and Imports)#$87,000 (Merryweather variant; GTA Online)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Vice City Stories#Grand Theft Auto V#Grand Theft Auto Online,Crusader,Freecrawler
328,Novak,Lampadati,SUVs,Civilian vehicle,4-door SUV,0,"$608,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Huntley S#Baller LE#Baller LE LWB#XLS#Toros
329,Patriot,Mammoth (HD Universe),SUVs,Military/civilian 4WD truck,4-door crew cab or 4-door SUV,4,"$32,000 (GTA SA)#(Exports and Imports)#$500 (Auto merchant)#(Chinatown Wars)#$50,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,"NOOSE Patriot#Patriot Stretch#Squaddie (GTA V, cut variant)",0
330,Patriot Stretch,Mammoth,SUVs,Civilian truck,4-door limousine,6,"$611,800#$460,000 (Trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Patriot#Stretch
331,Radius,Vapid,SUVs,Civilian car,4-door SUV,4,"$32,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
332,Rebla GTS,Übermacht,SUVs,Civilian car,4-door luxury SUV,4,"$1,175,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Huntley S#Baller LE#Baller LE LWB#XLS#Toros#Novak#Landstalker XL
333,Rocoto,Obey,SUVs,Civilian SUV,4-door SUV,4,"$85,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Gresley#Baller#Huntley S#Rebla#Rebla GTS
334,Seminole,Canis,SUVs,Civilian car,Four-door mid-size SUV,4,"$30,000 (Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,0
335,Seminole Frontier,Canis,SUVs,Civilian car,4-door SUV,4,"$678,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Landstalker (GTA Vice City)#Mesa#Rancher XL#Hellion#
336,Serrano,Benefactor (HD Universe),SUVs,Civilian car,Four-door SUV,4,"$60,000 (GTA Online)(Southern San Andreas Super Autos)[1]",,VEHICLE,The Ballad of Gay TonyGrand Theft Auto VGrand Theft Auto Online,0,DubstaSchafter
337,Squaddie,Mammoth,SUVs,Military vehicle,Light utility vehicle,4,"$1,130,000 (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V [CUT]#Grand Theft Auto Online [DLC] [EV],0,Patriot#Crusader#Winky
338,Toros,Pegassi,SUVs,Civilian SUV,4-door SUV,4,"$498,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Huntley S
339,XLS,Benefactor,SUVs,Civilian SUV,4-door SUV,4,"$253,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],XLS (Armored),Gresley#Streiter#Rebla GTS
340,XLS (Armored),Benefactor,SUVs,Civilian SUV,Armored 4-door SUV,4,"$522,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Schafter V12 (Armored)#Schafter LWB (Armored)#XLS#Gresley
341,Akuma,Dinka,Motorcycles,Civilian motorcycle,Streetfighter,2,"$9,000 (Southern San Andreas Super Autos)",,VEHICLE,The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,BF-400#Double T#Thrust
342,Apocalypse Deathbike,Western Motorcycle Company,Motorcycles,Civilian vehicle,Custom motorcycle,1,"$1,269,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Future Shock Deathbike#Nightmare Deathbike,Gargoyle#Cliffhanger
343,Future Shock Deathbike,Western Motorcycle Company,Motorcycles,Civilian vehicle,Custom motorcycle,1,"$1,269,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Gargoyle#Cliffhanger#Apocalypse Deathbike#Nightmare Deathbike#Shotaro
344,Nightmare Deathbike,Western Motorcycle Company,Motorcycles,Civilian vehicle,Custom motorcycle,1,"$1,269,000 (Conversion at Arena Workshop)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Gargoyle#Cliffhanger#Apocalypse Deathbike#Future Shock Deathbike
345,Avarus,Liberty City Cycles,Motorcycles,Civilian vehicle,Chopper,1,"$116,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Sanctus[1],0
346,Bagger,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Touring motorcycle,2,"$16,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Freeway#Wolfsbane#Wayfarer
347,Bati 801,Pegassi (HD Universe),Motorcycles,Civilian motorcycle,Sports bike,2,"$10,000 (GTA V)#$15,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,The Lost and Damned#Grand Theft Auto V#Grand Theft Auto Online,Bati 801RR,Carbon RS
348,Bati 801RR,Pegassi,Motorcycles,Civilian motorcycle,Sports bike,2,"$15,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Bati 801
349,BF400,Nagasaki (HD Universe),Motorcycles,Civilian motorcycle,Sports motorcycle (GTA San Andreas)#Enduro motorcycle (GTA Online),2,"$95,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: San Andreas#Grand Theft Auto Online [DLC] [EV],0,PCJ-600 (GTA IV)#Streetfighter#Sanchez#Manchez#Enduro
350,Carbon RS,Nagasaki,Motorcycles,Civilian motorcycle,Sport bike,2,"FREE (GTA Online) (Collector's Edition)#(Legendary Motorsport)$40,000 (GTA V) (Returning Players)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Bati 801
351,Chimera,Nagasaki,Motorcycles,Civilian vehicle,Chopper-style tricycle,1,"$210,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,0
352,Cliffhanger,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Rally motorcycle,2,"$225,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Gargoyle
353,Daemon,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Cruiser,2,"$145,000 (GTA Online) (Southern San Andreas Super Autos) (second variant only)",,VEHICLE,Grand Theft Auto IV [CUT]#The Lost and Damned#Grand Theft Auto V#Grand Theft Auto Online [DLC],0,Angel#Wayfarer#Wolfsbane#Freeway#Zombie Chopper
354,Daemon,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Cruiser,2,"$145,000 (GTA Online) (Southern San Andreas Super Autos) (second variant only)",,VEHICLE,Grand Theft Auto IV [CUT]#The Lost and Damned#Grand Theft Auto V#Grand Theft Auto Online [DLC],0,Angel#Wayfarer#Wolfsbane#Freeway#Zombie Chopper
355,Defiler,Shitzu,Motorcycles,Civilian vehicle,Streetfighter,1,"$412,000#$309,000 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,0
356,Diabolus,Western Motorcycle Company (TLAD)#Principe (GTA Online),Motorcycles,Civilian motorcycle,Chopper (TLAD)# (GTA Online),2,"$169,000 (Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto IV [CUT]#The Lost and Damned#Grand Theft Auto Online [DLC] [EV],Diabolus Custom,Hellfury (TLAD)#Vortex (GTA Online)#Lectro (GTA Online)
357,Diabolus Custom,Principe,Motorcycles,Civilian motorcycle,Custom naked street-fighter,1,"$245,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC]#,0,Diabolus
358,Double T,Dinka,Motorcycles,Civilian motorcycle,Sports bike,2,"$12,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Double T Custom,Akuma#Thrust
359,Enduro,Dinka,Motorcycles,Motorcycle,Off-Road enduro trials motorcycle,2,"$48,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC],0,Sanchez#Manchez#BF-400
360,Esskey,Pegassi,Motorcycles,Civilian motorcycle,Scrambler,2,"$264,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,0
361,Faggio,Pegassi (GTA IV)#Principe (GTA V),Motorcycles,Civilian motorcycle,Scooter,2,"$5,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,Faggio Mod#Pizzaboy#NoodleBoy,0
362,Faggio Mod,Pegassi,Motorcycles,Civilian vehicle,Two-stroke scooter,2,"$55,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Faggio#Faggio Sport#Mod Scooter
363,Faggio Sport,Pegassi,Motorcycles,Civilian motorcycle,Scooter,2,"$47,500 (Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],0,0
364,FCR 1000,Pegassi,Motorcycles,Civilian motorcycle,Sports bike,1,"$135,000  (GTA Online) (Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],FCR 1000 Custom,FCR-900
365,FCR 1000 Custom,Pegassi,Motorcycles,Civilian motorcycle,Café racer,1,"$196,000 (Conversion at Benny's Original Motor Works)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,FCR 1000
366,Gargoyle,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Rally-converted hillclimber,2,"$120,000#$90,000 (trade price, Arena War only)#(Southern San Andreas Super Autos & Arena War)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Apocalypse Deathbike#Future Shock Deathbike#Nightmare Deathbike,Cliffhanger
367,Hakuchou,Shitzu,Motorcycles,Civilian motorcycle,Sports bike,2,"$82,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],Hakuchou Drag,NRG 900
368,Hakuchou Drag,Shitzu,Motorcycles,Civilian motorcycle,Drag bike,2,"$976,000 (GTA Online) (Legendary Motorsport)",,VEHICLE,The Lost and Damned#Grand Theft Auto Online [DLC] [EV],0,Hakuchou#Double T Custom
369,Hexer,Liberty City Cycles,Motorcycles,Civilian motorcycle,Chopper,2,"$15,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV [UN]#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Innovation
370,Innovation,Liberty City Cycles,Motorcycles,Civilian motorcycle,Chopper,2,"$92,500 (Southern San Andreas Super Autos)",,VEHICLE,The Lost and Damned#Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Hexer
371,Lectro,Principe,Motorcycles,Civilian motorcycle,Streetfighter,2,"• ­$997,500#• ­$750,000 (after The Pacific Standard Job)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC],0,Nemesis#Vindicator#Diabolus (GTA Online)
372,Manchez,Maibatsu (HD Universe),Motorcycles,Civilian motorcycle,Dirtbike,2,"$67,000#$50,250 (trade price)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Liberty City Stories#Grand Theft Auto Online [DLC] [EV],Manchez Scout,Sanchez#Enduro#BF-400
373,Manchez Scout,Maibatsu,Motorcycles,Military vehicle,Military off-road motorcycle,1,"$225,000 (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Manchez#Sanchez#Enduro#Esskey
374,Nemesis,Principe,Motorcycles,Civilian motorcycle,Dual-sport motorcycle,2,"$12,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Diabolus (GTA Online)#Vader#Akuma#Lectro
375,Nightblade,Liberty Chop Shop (The Lost and Damned)#Western Motorcycle Company (Grand Theft Auto Online),Motorcycles,Civilian motorcycle,Cruiser#Power Cruiser (Grand Theft Auto Online),2,"$100,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV [UN]#The Lost and Damned#Grand Theft Auto Online [DLC] [EV],0,Lycan#Revenant
376,Oppressor,Pegassi,Motorcycles,Concept vehicle,Custom motorcycle,1,"$3,524,500#$2,650,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],Oppressor Mk II,Rocket Voltic#Vigilante
377,Oppressor Mk II,Pegassi,Motorcycles,Custom motorcycle,Hover bike,1,"$3,890,250#$2,925,000 (trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Oppressor#Deluxo
378,PCJ-600,Shitzu (HD Universe),Motorcycles,Civilian motorcycle,Sports bike (3D Universe)#Streetfighter (HD Universe),2,"$9,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Vader#Streetfighter
379,Rampant Rocket,Western Motorcycle Company,Motorcycles,Civilian vehicle,Hot-rod tricycle,1,"$925,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Chimera
380,Rat Bike,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Rat Bike,2,"$48,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Wolfsbane
381,Ruffian,Pegassi,Motorcycles,Civilian motorcycle,Roadster bike,2,"$10,000 (GTA V)#$9,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Akuma
382,Sanchez,Maibatsu Corporation (HD Universe),Motorcycles,Civilian motorbike,Dirtbike,2,"$8,000 (Exports and Imports) (GTA SA)#$8,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Manchez#Sanchez (livery),Enduro#BF-400
383,Sanchez,Maibatsu Corporation (HD Universe),Motorcycles,Civilian motorbike,Dirtbike,2,"$8,000 (Exports and Imports) (GTA SA)#$8,000 (GTA Online)#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,Manchez#Sanchez (livery),Enduro#BF-400
384,Sanctus,Liberty City Cycles,Motorcycles,Civilian Motorcycle,Custom Chopper,1,"$1,995,000#(Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Avarus[1]
385,Shotaro,Nagasaki,Motorcycles,Civilian motorcycle,Sports bike,1,"$2,225,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Future Shock Deathbike
386,Sovereign,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Roadcruiser,1,"$120,000 (Original release)#$90,000 (2015 release)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Police Bike#Wolfsbane#Freeway#Angel#Wintergreen#Bagger
387,Stryder,Nagasaki,Motorcycles,Civilian vehicle,Trike motorcycle,2,"$670,000#$502,500 (trade price)#(Legendary Motorsport)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Street Blazer#Chimera#Rampant Rocket#Raptor
388,Thrust,Dinka,Motorcycles,Civilian motorcycle,Sport touring bike,2,"$75,000 (GTA Online) (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Double-T#Akuma#Wayfarer (SA)
389,Vader,Shitzu,Motorcycles,Civilian motorcycle,Streetfighter,2,"$9,000 (Southern San Andreas Super Autos)",,VEHICLE,The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,PCJ-600
390,Vindicator,Dinka,Motorcycles,Civilian motorcycle,Sport touring motorcycle,2,"$630,000 (Legendary Motorsport)",,VEHICLE,Grand Theft Auto V [DLC]#Grand Theft Auto Online [DLC],0,Thrust
391,Vortex,Pegassi,Motorcycles,Civilian motorcycle,Streetfighter,1,"$356,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Lectro
392,Wolfsbane,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Cruiser,2,"$95,000 (GTA Online) (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto IV [UN]#The Lost and Damned#Grand Theft Auto Online [DLC] [EV],Rat Bike,Sovereign#Police Bike
393,Zombie Bobber,Western Motorcycle Company,Motorcycles,Civilian motorcycle,Bobber,1,"$99,000 (Southern San Andreas Super Autos)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Zombie Chopper
394,Zombie Chopper,"Steel Horse (GTA IV, 1st variant)#Liberty Chop Shop (GTA IV, 2nd variant)#Liberty City Cycles (GTA IV, 3rd variant)#Western Motorcycle Company (GTA Online)",Motorcycles,Civilian motorcycle,Chopper,2,"$122,000 (GTA Online) (Southern San Andreas Super Autos",,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto Online [DLC] [EV],Zombie Bobber,Angel#Daemon
395,Ambulance,Brute (HD Universe),Emergency,Emergency vehicle,Ambulance,4,0,,VEHICLE,Grand Theft Auto#Grand Theft Auto: London 1969#Grand Theft Auto: London 1961#Grand Theft Auto III#Grand Theft Auto: Vice City#Grand Theft Auto: San Andreas#Grand Theft Auto Advance#Grand Theft Auto: Liberty City Stories#Grand Theft Auto: Vice City Stories#Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto: Chinatown Wars#Grand Theft Auto V#Grand Theft Auto Online,0,Medicar#Burrito
396,FIB,Bravado,Emergency,Law enforcement vehicle,4-door sedan,4,0,,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Buffalo#Police Buffalo
397,FIB,Declasse,Emergency,Law enforcement SUV,"Four-door, full-size SUV",8,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Granger#Sheriff SUV#Park Ranger#Lifeguard#FBI Rancher#FIB Rancher
398,Fire Truck,MTL (HD Universe),Emergency,Emergency vehicle,Firetruck,2,"$3,295,000#$2,471,250 (Trade price)#(GTA Online; Warstock Cache & Carry)[2]",,VEHICLE,All Grand Theft Auto games,0,0
399,Lifeguard,Declasse,Emergency,Emergency vehicle,4-door full-size rescue SUV,4,"$865,000 (GTA Online) (Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Granger#FIB Granger#Sheriff SUV#Park Ranger
400,Park Ranger,Declasse,Emergency,Law enforcement vehicle,"Four door, full-size SUV",8,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Granger#Sheriff SUV#FIB#Lifeguard
401,Police Bike,Western Motorcycle Company,Emergency,Law Enforcement vehicle,Motorbike,1,0,,VEHICLE,The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Sovereign#Wolfsbane#HPV-1000#VCPD WinterGreen
402,Police Cruiser,Vapid,Emergency,Law enforcement car,Four-door sedan,4,0,,VEHICLE,Grand Theft Auto IV#The Lost and Damned#The Ballad of Gay Tony#Grand Theft Auto V#Grand Theft Auto Online,0,Stanier#Sheriff Cruiser#Unmarked Cruiser#NOOSE Cruiser
403,Police Cruiser,Vapid,Emergency,Law enforcement vehicle,Four-door sports sedan,4,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Police Cruiser#Police Buffalo
404,Police Prison Bus,"Brute (TLAD, Police chatter)#Vapid (GTA V & GTA Online, In-game)",Emergency,Law enforcement vehicle,Prison bus,11,"$731,500#$550,000 (after The Prison Break)#(GTA Online)#(Warstock Cache & Carry)",,VEHICLE,The Lost and Damned#Grand Theft Auto V#Grand Theft Auto Online,0,Yankee#Benson#Scrap Truck#Large Tow Truck#Festival Bus
405,Police Riot,Brute,Emergency,Law enforcement vehicle,Armored van,8,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,SWAT Van#Enforcer#Insurgent#RCV
406,Police Transporter,Declasse [1],Emergency,Law enforcement van,4-door van,4,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Burrito
407,RCV,0,Emergency,Law enforcement vehicle,Armored riot control truck,6,"$3,125,500#$2,350,000 (Trade price)#(Warstock Cache & Carry)",,VEHICLE,Grand Theft Auto Online [DLC] [EV],0,Police Riot#S.W.A.T.
408,Sheriff Cruiser,Vapid,Emergency,Law enforcement car,4-door sedan,4,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Stanier#Police Cruiser#Unmarked Cruiser#NOOSE Cruiser
409,Sheriff SUV,Declasse,Emergency,Law enforcement SUV,"Four door, full-size SUV",8,0,,VEHICLE,Grand Theft Auto V#Grand Theft Auto Online,0,Granger#FIB#Lifeguard#Park Ranger
